epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.80442,2.04537,7.99777,0.01834,0.13522,0.12273,0.03393,0.01658,1.87302,9.37424,0.02461,4.669e-05,4.669e-05,4.669e-05
2,8.6837,1.95142,6.25423,0.0168,0.25783,0.1894,0.11414,0.05471,2.01476,8.86534,0.02792,9.83992e-05,9.83992e-05,9.83992e-05
3,12.763,1.86028,5.66122,0.01643,0.14689,0.28815,0.11725,0.05189,2.14261,7.8029,0.02958,0.000148347,0.000148347,0.000148347
4,18.603,1.8033,4.80837,0.01515,0.33282,0.19452,0.19231,0.09246,2.02868,6.7669,0.02814,0.000196535,0.000196535,0.000196535
5,23.0283,1.80516,4.34315,0.01626,0.25979,0.359,0.2979,0.14505,1.91085,5.81431,0.02643,0.000242961,0.000242961,0.000242961
6,32.2259,1.77769,3.85505,0.01509,0.38879,0.39342,0.38924,0.19798,2.22512,4.90075,0.03184,0.000287627,0.000287627,0.000287627
7,41.6034,1.77359,3.59515,0.01538,0.3736,0.43052,0.44079,0.21155,2.13846,4.19083,0.03028,0.000330532,0.000330532,0.000330532
8,49.8344,1.80232,3.12197,0.01511,0.48614,0.57609,0.52523,0.25365,2.11092,3.61034,0.0297,0.000371676,0.000371676,0.000371676
9,53.9212,1.78503,2.87062,0.01639,0.58099,0.52893,0.60369,0.3044,1.96141,3.27184,0.02855,0.000411059,0.000411059,0.000411059
10,58.0613,1.77193,2.50763,0.01556,0.59626,0.60144,0.65229,0.31158,2.15756,3.07198,0.03063,0.000448681,0.000448681,0.000448681
11,63.8688,1.7266,2.16201,0.0148,0.60573,0.61673,0.66442,0.33136,2.18278,2.79344,0.03215,0.000484542,0.000484542,0.000484542
12,67.9416,1.73275,2.08309,0.01495,0.63844,0.63731,0.69998,0.34608,2.12108,2.52425,0.03035,0.000518643,0.000518643,0.000518643
13,71.9894,1.76923,1.89913,0.01533,0.60711,0.7011,0.73329,0.33911,1.88603,2.68716,0.02568,0.000534934,0.000534934,0.000534934
14,76.0035,1.72331,1.78525,0.01482,0.69304,0.67348,0.76385,0.35268,2.29699,2.18972,0.03212,0.000523928,0.000523928,0.000523928
15,80.017,1.73224,1.69905,0.01518,0.68495,0.72306,0.76766,0.35047,1.99875,1.96163,0.02805,0.000512923,0.000512923,0.000512923
16,83.9522,1.7643,1.52597,0.01467,0.77504,0.66386,0.7495,0.32554,2.36125,1.69934,0.03346,0.000501917,0.000501917,0.000501917
17,87.8551,1.74347,1.54306,0.01494,0.67632,0.75393,0.76713,0.35224,2.17075,1.59735,0.03032,0.000490912,0.000490912,0.000490912
18,91.8824,1.74917,1.38849,0.01546,0.73917,0.75489,0.77393,0.37008,2.11809,1.57639,0.02943,0.000479907,0.000479907,0.000479907
19,96.0117,1.64782,1.36522,0.01403,0.75592,0.74575,0.78467,0.35589,2.08631,1.98765,0.02791,0.000468901,0.000468901,0.000468901
20,101.922,1.66486,1.31319,0.01346,0.76387,0.73227,0.78159,0.36792,2.03222,1.90213,0.0274,0.000457895,0.000457895,0.000457895
21,107.654,1.63373,1.25808,0.01345,0.76699,0.69568,0.77761,0.35635,1.98914,1.87927,0.02669,0.00044689,0.00044689,0.00044689
22,111.686,1.64638,1.25147,0.01432,0.80881,0.67938,0.76636,0.34834,2.41941,1.46386,0.03675,0.000435884,0.000435884,0.000435884
23,115.745,1.64228,1.16507,0.01433,0.76079,0.76309,0.80103,0.37193,2.35852,1.21406,0.03514,0.000424879,0.000424879,0.000424879
24,119.784,1.60356,1.15007,0.01321,0.78625,0.73539,0.82138,0.36833,2.46656,1.25466,0.03488,0.000413873,0.000413873,0.000413873
25,123.821,1.65686,1.14097,0.01392,0.72769,0.82238,0.83467,0.38692,2.3642,1.19635,0.03359,0.000402868,0.000402868,0.000402868
26,127.868,1.54603,1.11057,0.01345,0.71364,0.7997,0.79563,0.36645,2.25419,1.20335,0.03161,0.000391862,0.000391862,0.000391862
27,131.844,1.53428,1.04905,0.01328,0.73578,0.76672,0.78371,0.35515,2.18305,1.13584,0.02961,0.000380857,0.000380857,0.000380857
28,135.427,1.53888,1.01457,0.0125,0.76955,0.78476,0.80839,0.37428,2.19285,1.07855,0.02951,0.000369851,0.000369851,0.000369851
29,139.037,1.56171,1.00248,0.01403,0.75917,0.71094,0.77147,0.35828,2.25878,1.1626,0.03058,0.000358846,0.000358846,0.000358846
30,142.694,1.56999,1.06145,0.01413,0.77926,0.71433,0.78405,0.36607,2.14791,1.08436,0.02863,0.00034784,0.00034784,0.00034784
31,146.413,1.54969,0.97342,0.01344,0.79949,0.7458,0.80923,0.37438,2.13822,0.99048,0.02891,0.000336835,0.000336835,0.000336835
32,150.139,1.50156,0.99763,0.01243,0.80116,0.8103,0.82596,0.37486,2.27724,1.03543,0.03117,0.000325829,0.000325829,0.000325829
33,153.869,1.46735,0.93101,0.01211,0.79874,0.76795,0.83503,0.37226,2.2808,1.02084,0.03126,0.000314824,0.000314824,0.000314824
34,157.577,1.42374,0.85451,0.01224,0.77269,0.82168,0.84527,0.38677,2.2796,0.99574,0.03158,0.000303818,0.000303818,0.000303818
35,161.312,1.42023,0.86444,0.0116,0.76436,0.81282,0.83189,0.39195,2.31952,1.01058,0.03223,0.000292813,0.000292813,0.000292813
36,165.049,1.46462,0.8909,0.01291,0.79504,0.79683,0.83711,0.38877,2.35784,0.98204,0.03318,0.000281807,0.000281807,0.000281807
37,168.626,1.39776,0.83573,0.01113,0.81601,0.78964,0.8152,0.38135,2.33037,0.99875,0.03293,0.000270802,0.000270802,0.000270802
